"filename", "language", "JavaScript", "PHP", "Markdown", "CSS", "JSON", "JavaScript JSX", "HTML", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\book-review\front-end\src\components\Users\user_profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 0, 9, 118
"c:\xampp\htdocs\book-review\front-end\src\components\admin\AdminHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 140, 0, 0, 0, 18, 158
"c:\xampp\htdocs\book-review\front-end\src\components\admin\AdminSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 0, 14, 87
"c:\xampp\htdocs\book-review\front-end\src\components\admin\dropDownMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 2, 53
"c:\xampp\htdocs\book-review\front-end\src\components\form components\textInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\xampp\htdocs\book-review\front-end\src\components\login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 0, 19, 142
"c:\xampp\htdocs\book-review\front-end\src\components\notFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\xampp\htdocs\book-review\front-end\src\components\signup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 144, 0, 0, 0, 4, 148
"c:\xampp\htdocs\book-review\front-end\src\components\useWindowSize.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\xampp\htdocs\book-review\front-end\src\contexts\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 5, 16, 89
"c:\xampp\htdocs\book-review\front-end\src\contexts\BookContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 0, 10, 97
"c:\xampp\htdocs\book-review\front-end\src\contexts\GenreContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 3, 14, 103
"c:\xampp\htdocs\book-review\front-end\src\contexts\UserContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 12, 107
"c:\xampp\htdocs\book-review\front-end\src\index.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 0, 1, 4, 19
"c:\xampp\htdocs\book-review\front-end\src\layouts\guest.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\book-review\front-end\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\xampp\htdocs\book-review\front-end\src\router.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 0, 8, 94
"c:\xampp\htdocs\book-review\front-end\src\something.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 19
"c:\xampp\htdocs\book-review\front-end\tailwind.config.cjs", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 17, 2, 39
"c:\xampp\htdocs\book-review\front-end\vite.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\xampp\htdocs\book-review\package-lock.json", "JSON", 0, 0, 0, 0, 2876, 0, 0, 0, 0, 1, 2877
"c:\xampp\htdocs\book-review\package.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"c:\xampp\htdocs\book-review\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 31, 2, 1, 34
"c:\xampp\htdocs\book-review\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\book-review\public\index.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 3, 6, 18
"c:\xampp\htdocs\book-review\public\vendor\telescope\app-dark.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 5, 2, 9
"c:\xampp\htdocs\book-review\public\vendor\telescope\app.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 5, 1, 8
"c:\xampp\htdocs\book-review\public\vendor\telescope\app.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\book-review\public\vendor\telescope\mix-manifest.json", "JSON", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\book-review\resources\css\app.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\book-review\resources\js\app.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\book-review\resources\js\bootstrap.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
